Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Brazil,Maruim,21,Good,0,Good,18,Good,1,Good,21,Good
Iran (Islamic Republic Of),Mashhad,148,Unhealthy For Sensitive Groups,1,Good,40,Good,0,Good,148,Unhealthy For Sensitive Groups
United States Of America,Massena,43,Good,1,Good,19,Good,4,Good,43,Good
Brazil,Mata De Sao Joao,42,Good,1,Good,12,Good,3,Good,42,Good
Uzbekistan,Maymanak,93,Moderate,1,Good,47,Good,0,Good,93,Moderate
Romania,Medgidia,42,Good,1,Good,42,Good,0,Good,20,Good
Russian Federation,Medvezhyegorsk,55,Moderate,1,Good,29,Good,0,Good,55,Moderate
India,Mehndawal,147,Unhealthy For Sensitive Groups,3,Good,147,Unhealthy For Sensitive Groups,1,Good,130,Unhealthy For Sensitive Groups
Ukraine,Merefa,41,Good,1,Good,41,Good,0,Good,38,Good
United States Of America,Merrick,112,Unhealthy For Sensitive Groups,4,Good,13,Good,34,Good,112,Unhealthy For Sensitive Groups
Turkey,Merzifon,49,Good,1,Good,33,Good,0,Good,49,Good
Italy,Mesagne,67,Moderate,1,Good,67,Moderate,1,Good,50,Good
Mexico,Metepec,130,Unhealthy For Sensitive Groups,3,Good,11,Good,12,Good,130,Unhealthy For Sensitive Groups
United States Of America,Methuen,70,Moderate,2,Good,17,Good,15,Good,70,Moderate
France,Meyzieu,118,Unhealthy For Sensitive Groups,2,Good,24,Good,4,Good,118,Unhealthy For Sensitive Groups
China,Laiyang,127,Unhealthy For Sensitive Groups,2,Good,118,Unhealthy For Sensitive Groups,2,Good,127,Unhealthy For Sensitive Groups
Bangladesh,Lalmohan,109,Unhealthy For Sensitive Groups,2,Good,48,Good,0,Good,109,Unhealthy For Sensitive Groups
Germany,Lauenburg,33,Good,0,Good,33,Good,1,Good,13,Good
Netherlands,Leerdam,30,Good,1,Good,30,Good,2,Good,20,Good
United Kingdom Of Great Britain And Northern Ireland,Leigh,59,Moderate,1,Good,19,Good,10,Good,59,Moderate
Ethiopia,Leku,71,Moderate,1,Good,18,Good,0,Good,71,Moderate
Mexico,Lerdo,95,Moderate,1,Good,26,Good,1,Good,95,Moderate
Russian Federation,Lermontov,35,Good,1,Good,35,Good,1,Good,21,Good
Colombia,Libano,64,Moderate,2,Good,5,Good,4,Good,64,Moderate
